Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Actions,Score,Score difference,Turns,Score per turn,Score difference per turn,Win,Initial cooperation,Cooperation count,CC count,CD count,DC count,DD count,CC to C count,CC to D count,CD to C count,CD to D count,DC to C count,DC to D count,DD to C count,DD to D count,Good partner
9,9,0,0,Nemotron3Super,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
10,0,10,0,Cooperator,Qwen35,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
10,10,0,0,Qwen35,Cooperator,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
11,0,11,0,Cooperator,Qwen3CoderNext,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
11,11,0,0,Qwen3CoderNext,Cooperator,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
12,0,12,0,Cooperator,WAS - Example: 0.5,CCCCCCCCCC,-30,-25,10,-3.0,-2.5,0,True,10,5,5,0,0,5,0,4,0,0,0,0,0,1
12,12,0,0,WAS - Example: 0.5,Cooperator,CDCCCDCDDD,-5,25,10,-0.5,2.5,1,True,5,5,0,5,0,2,3,0,0,2,2,0,0,0
13,0,13,0,Cooperator,WAS - Example: 0.5,CCCCCCCCCC,-34,-30,10,-3.4,-3.0,0,True,10,4,6,0,0,3,0,6,0,0,0,0,0,1
13,13,0,0,WAS - Example: 0.5,Cooperator,DDDDCCDCDC,-4,30,10,-0.4,3.0,1,False,4,4,0,6,0,1,2,0,0,3,3,0,0,0
14,1,1,0,Defector,Defector,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
14,1,1,0,Defector,Defector,DDDDDDDDDD,-30,0,10,-3.0,0.0,0,False,0,0,0,0,10,0,0,0,0,0,0,0,9,1
15,1,2,0,Defector,Tit For Tat,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
15,2,1,0,Tit For Tat,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
16,1,3,0,Defector,Grudger,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
16,3,1,0,Grudger,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
17,1,4,0,Defector,Random: 0.5,DDDDDDDDDD,-15,25,10,-1.5,2.5,1,False,0,0,0,5,5,0,0,0,0,0,4,0,5,0
17,4,1,0,Random: 0.5,Defector,CCDCDDCDDC,-40,-25,10,-4.0,-2.5,0,True,5,0,5,0,5,0,0,1,3,0,0,3,2,1
18,1,5,0,Defector,DeepseekV4Flash,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
18,5,1,0,DeepseekV4Flash,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
19,1,6,0,Defector,Glm51,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
19,6,1,0,Glm51,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
20,1,7,0,Defector,KimiK26,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
20,7,1,0,KimiK26,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
21,1,8,0,Defector,MinimaxM2,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
21,8,1,0,MinimaxM2,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
22,1,9,0,Defector,Nemotron3Super,DDDDDDDDDD,-24,10,10,-2.4,1.0,1,False,0,0,0,2,8,0,0,0,0,0,2,0,7,0
22,9,1,0,Nemotron3Super,Defector,CCDDDDDDDD,-34,-10,10,-3.4,-1.0,0,True,2,0,2,0,8,0,0,1,1,0,0,0,7,1
23,1,10,0,Defector,Qwen35,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
23,10,1,0,Qwen35,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
24,1,11,0,Defector,Qwen3CoderNext,DDDDDDDDDD,-27,5,10,-2.7,0.5,1,False,0,0,0,1,9,0,0,0,0,0,1,0,8,0
24,11,1,0,Qwen3CoderNext,Defector,CDDDDDDDDD,-32,-5,10,-3.2,-0.5,0,True,1,0,1,0,9,0,0,0,1,0,0,0,8,1
25,1,12,0,Defector,WAS - Example: 0.5,DDDDDDDDDD,-12,30,10,-1.2,3.0,1,False,0,0,0,6,4,0,0,0,0,0,5,0,4,0
25,12,1,0,WAS - Example: 0.5,Defector,CDCCDDCDCC,-42,-30,10,-4.2,-3.0,0,True,6,0,6,0,4,0,0,2,3,0,0,3,1,1
26,1,13,0,Defector,WAS - Example: 0.5,DDDDDDDDDD,-12,30,10,-1.2,3.0,1,False,0,0,0,6,4,0,0,0,0,0,5,0,4,0
26,13,1,0,WAS - Example: 0.5,Defector,CDCDCCCDDC,-42,-30,10,-4.2,-3.0,0,True,6,0,6,0,4,0,0,2,3,0,0,3,1,1
27,2,2,0,Tit For Tat,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
27,2,2,0,Tit For Tat,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
28,2,3,0,Tit For Tat,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
28,3,2,0,Grudger,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
29,2,4,0,Tit For Tat,Random: 0.5,CDDDCCCDCC,-20,0,10,-2.0,0.0,0,True,6,4,2,2,2,3,0,0,2,2,0,0,2,1
29,4,2,0,Random: 0.5,Tit For Tat,DDDCCCDCCC,-20,0,10,-2.0,0.0,0,False,6,4,2,2,2,2,1,2,0,1,1,1,1,1
30,2,5,0,Tit For Tat,DeepseekV4Flash,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
30,5,2,0,DeepseekV4Flash,Tit For Tat,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
31,2,6,0,Tit For Tat,Glm51,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
31,6,2,0,Glm51,Tit For Tat,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
32,2,7,0,Tit For Tat,KimiK26,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
32,7,2,0,KimiK26,Tit For Tat,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
33,2,8,0,Tit For Tat,MinimaxM2,CCCCCCCCCD,-16,-5,10,-1.6,-0.5,0,True,9,8,1,0,1,8,0,0,1,0,0,0,0,1
33,8,2,0,MinimaxM2,Tit For Tat,CCCCCCCCDD,-11,5,10,-1.1,0.5,1,True,8,8,0,1,1,7,1,0,0,0,1,0,0,0
34,2,9,0,Tit For Tat,Nemotron3Super,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
34,9,2,0,Nemotron3Super,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
35,2,10,0,Tit For Tat,Qwen35,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
35,10,2,0,Qwen35,Tit For Tat,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
36,2,11,0,Tit For Tat,Qwen3CoderNext,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
36,11,2,0,Qwen3CoderNext,Tit For Tat,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
37,2,12,0,Tit For Tat,WAS - Example: 0.5,CDCCDDDDDC,-28,-5,10,-2.8,-0.5,0,True,4,1,3,2,4,1,0,0,2,2,0,0,4,1
37,12,2,0,WAS - Example: 0.5,Tit For Tat,DCCDDDDDCD,-23,5,10,-2.3,0.5,1,False,3,1,2,3,4,0,1,1,1,1,1,1,3,0
38,2,13,0,Tit For Tat,WAS - Example: 0.5,CDDCCCDCCC,-18,0,10,-1.8,0.0,0,True,7,5,2,2,1,4,0,0,2,2,0,0,1,1
38,13,2,0,WAS - Example: 0.5,Tit For Tat,DDCCCDCCCC,-18,0,10,-1.8,0.0,0,False,7,5,2,2,1,3,1,2,0,1,1,1,0,1
39,3,3,0,Grudger,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
39,3,3,0,Grudger,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
40,3,4,0,Grudger,Random: 0.5,CDDDDDDDDD,-17,20,10,-1.7,2.0,1,True,1,0,1,5,4,0,0,0,1,0,4,0,4,0
40,4,3,0,Random: 0.5,Grudger,DDCCCDDDCC,-37,-20,10,-3.7,-2.0,0,False,5,0,5,1,4,0,0,3,1,0,1,2,2,1
41,3,5,0,Grudger,DeepseekV4Flash,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
41,5,3,0,DeepseekV4Flash,Grudger,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
42,3,6,0,Grudger,Glm51,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
42,6,3,0,Glm51,Grudger,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
43,3,7,0,Grudger,KimiK26,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
43,7,3,0,KimiK26,Grudger,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
44,3,8,0,Grudger,MinimaxM2,CCCCCCCCCD,-16,-5,10,-1.6,-0.5,0,True,9,8,1,0,1,8,0,0,1,0,0,0,0,1
44,8,3,0,MinimaxM2,Grudger,CCCCCCCCDD,-11,5,10,-1.1,0.5,1,True,8,8,0,1,1,7,1,0,0,0,1,0,0,0
45,3,9,0,Grudger,Nemotron3Super,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
45,9,3,0,Nemotron3Super,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
46,3,10,0,Grudger,Qwen35,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
46,10,3,0,Qwen35,Grudger,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
47,3,11,0,Grudger,Qwen3CoderNext,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
47,11,3,0,Qwen3CoderNext,Grudger,CCCCCCCCCC,-10,0,10,-1.0,0.0,0,True,10,10,0,0,0,9,0,0,0,0,0,0,0,1
48,3,12,0,Grudger,WAS - Example: 0.5,CCCCCDDDDD,-12,15,10,-1.2,1.5,1,True,5,4,1,4,1,4,0,0,1,0,3,0,1,0
48,12,3,0,WAS - Example: 0.5,Grudger,CCCCDDCCCC,-27,-15,10,-2.7,-1.5,0,True,8,4,4,1,1,3,1,3,0,0,1,1,0,1
49,3,13,0,Grudger,WAS - Example: 0.5,CCDDDDDDDD,-21,10,10,-2.1,1.0,1,True,2,1,1,3,5,1,0,0,1,0,3,0,4,0
49,13,3,0,WAS - Example: 0.5,Grudger,CDDDCCDCDD,-31,-10,10,-3.1,-1.0,0,True,4,1,3,1,5,0,1,1,2,0,1,2,2,1
50,4,4,0,Random: 0.5,Random: 0.5,DCDCCDDDCD,-12,20,10,-1.2,2.0,1,False,4,2,2,6,0,0,2,1,1,3,2,0,0,0
50,4,4,0,Random: 0.5,Random: 0.5,CCCDDCCCCC,-32,-20,10,-3.2,-2.0,0,True,8,2,6,2,0,2,0,4,1,1,1,0,0,1
51,4,5,0,Random: 0.5,DeepseekV4Flash,CDCDDDCCDC,-23,0,10,-2.3,0.0,0,True,5,2,3,3,2,0,2,1,1,2,1,1,1,1
51,5,4,0,DeepseekV4Flash,Random: 0.5,CCDCDDDCCD,-23,0,10,-2.3,0.0,0,True,5,2,3,3,2,2,0,0,3,2,0,0,2,1
52,4,6,0,Random: 0.5,Glm51,CDCDDDCCCC,-32,-15,10,-3.2,-1.5,0,True,6,1,5,2,2,0,1,3,1,1,1,1,1,1
52,6,4,0,Glm51,Random: 0.5,CCDCDDDDDD,-17,15,10,-1.7,1.5,1,True,3,1,2,5,2,1,0,0,2,1,3,0,2,0
53,4,7,0,Random: 0.5,KimiK26,DCCDDDDCCD,-28,-5,10,-2.8,-0.5,0,False,4,1,3,2,4,0,1,2,1,1,1,1,2,1
53,7,4,0,KimiK26,Random: 0.5,CDCCDDDDDD,-23,5,10,-2.3,0.5,1,True,3,1,2,3,4,1,0,0,2,1,2,0,3,0
54,4,8,0,Random: 0.5,MinimaxM2,DDCDDDCDDD,-25,5,10,-2.5,0.5,1,False,2,0,2,3,5,0,0,0,2,0,3,2,2,0
54,8,4,0,MinimaxM2,Random: 0.5,CDDCDDDCDD,-30,-5,10,-3.0,-0.5,0,True,3,0,3,2,5,0,0,0,3,2,0,0,4,1
55,4,9,0,Random: 0.5,Nemotron3Super,CDDCCCCDDD,-12,15,10,-1.2,1.5,1,True,5,4,1,4,1,2,2,1,0,1,3,0,0,0
55,9,4,0,Nemotron3Super,Random: 0.5,CCCDCCCCCD,-27,-15,10,-2.7,-1.5,0,True,8,4,4,1,1,4,0,2,2,1,0,0,0,1
56,4,10,0,Random: 0.5,Qwen35,DCCDCCCDCC,-23,-5,10,-2.3,-0.5,0,False,7,3,4,3,0,1,2,3,0,3,0,0,0,1
56,10,4,0,Qwen35,Random: 0.5,CDCCDCCCDD,-18,5,10,-1.8,0.5,1,True,6,3,3,4,0,3,0,0,3,2,1,0,0,0
57,4,11,0,Random: 0.5,Qwen3CoderNext,DCDCDCDCCD,-16,10,10,-1.6,1.0,1,False,5,3,2,4,1,1,2,0,2,4,0,0,0,0
57,11,4,0,Qwen3CoderNext,Random: 0.5,CCCDCCCCDD,-26,-10,10,-2.6,-1.0,0,True,7,3,4,2,1,2,1,3,1,1,1,0,0,1
58,4,12,0,Random: 0.5,WAS - Example: 0.5,DCCDCDDCDD,-21,5,10,-2.1,0.5,1,False,4,2,2,3,3,1,1,0,2,0,2,3,0,0
58,12,4,0,WAS - Example: 0.5,Random: 0.5,DCDDCCDDCC,-26,-5,10,-2.6,-0.5,0,False,5,2,3,2,3,1,1,1,1,1,1,2,1,1
59,4,13,0,Random: 0.5,WAS - Example: 0.5,CCDCDCDDCC,-21,0,10,-2.1,0.0,0,True,6,3,3,3,1,1,2,1,1,2,1,1,0,1
59,13,4,0,WAS - Example: 0.5,Random: 0.5,CCCDDCCCDD,-21,0,10,-2.1,0.0,0,True,6,3,3,3,1,3,0,1,2,0,2,1,0,1
60,5,5,0,DeepseekV4Flash,DeepseekV4Flash,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
60,5,5,0,DeepseekV4Flash,DeepseekV4Flash,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
61,5,6,0,DeepseekV4Flash,Glm51,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
61,6,5,0,Glm51,DeepseekV4Flash,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
62,5,7,0,DeepseekV4Flash,KimiK26,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
62,7,5,0,KimiK26,DeepseekV4Flash,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
63,5,8,0,DeepseekV4Flash,MinimaxM2,CCCCCCCCCD,-16,-5,10,-1.6,-0.5,0,True,9,8,1,0,1,8,0,0,1,0,0,0,0,1
63,8,5,0,MinimaxM2,DeepseekV4Flash,CCCCCCCCDD,-11,5,10,-1.1,0.5,1,True,8,8,0,1,1,7,1,0,0,0,1,0,0,0
64,5,9,0,DeepseekV4Flash,Nemotron3Super,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
64,9,5,0,Nemotron3Super,DeepseekV4Flash,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
65,5,10,0,DeepseekV4Flash,Qwen35,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
65,10,5,0,Qwen35,DeepseekV4Flash,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
66,5,11,0,DeepseekV4Flash,Qwen3CoderNext,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
66,11,5,0,Qwen3CoderNext,DeepseekV4Flash,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
67,5,12,0,DeepseekV4Flash,WAS - Example: 0.5,CDDDDDDDCD,-31,-5,10,-3.1,-0.5,0,True,2,0,2,1,7,0,0,0,2,1,0,0,6,1
67,12,5,0,WAS - Example: 0.5,DeepseekV4Flash,DDDDDDDCDD,-26,5,10,-2.6,0.5,1,False,1,0,1,2,7,0,0,0,1,0,2,1,5,0
68,5,13,0,DeepseekV4Flash,WAS - Example: 0.5,CCDDCCDCCD,-24,-5,10,-2.4,-0.5,0,True,6,3,3,2,2,3,0,0,3,2,0,0,1,1
68,13,5,0,WAS - Example: 0.5,DeepseekV4Flash,CDDCCDCCDD,-19,5,10,-1.9,0.5,1,True,5,3,2,3,2,0,3,2,0,1,2,1,0,0
69,6,6,0,Glm51,Glm51,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
69,6,6,0,Glm51,Glm51,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
70,6,7,0,Glm51,KimiK26,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
70,7,6,0,KimiK26,Glm51,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
71,6,8,0,Glm51,MinimaxM2,CCCCCCCCCD,-16,-5,10,-1.6,-0.5,0,True,9,8,1,0,1,8,0,0,1,0,0,0,0,1
71,8,6,0,MinimaxM2,Glm51,CCCCCCCCDD,-11,5,10,-1.1,0.5,1,True,8,8,0,1,1,7,1,0,0,0,1,0,0,0
72,6,9,0,Glm51,Nemotron3Super,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
72,9,6,0,Nemotron3Super,Glm51,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
73,6,10,0,Glm51,Qwen35,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
73,10,6,0,Qwen35,Glm51,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
74,6,11,0,Glm51,Qwen3CoderNext,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
74,11,6,0,Qwen3CoderNext,Glm51,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
75,6,12,0,Glm51,WAS - Example: 0.5,CCCDCCCDCC,-20,-5,10,-2.0,-0.5,0,True,8,5,3,2,0,5,0,0,2,2,0,0,0,1
75,12,6,0,WAS - Example: 0.5,Glm51,CCDCCCDCCD,-15,5,10,-1.5,0.5,1,True,7,5,2,3,0,2,3,2,0,2,0,0,0,0
76,6,13,0,Glm51,WAS - Example: 0.5,CDDDDDDDDD,-17,20,10,-1.7,2.0,1,True,1,0,1,5,4,0,0,0,1,0,5,0,3,0
76,13,6,0,WAS - Example: 0.5,Glm51,DDCCDDCCCD,-37,-20,10,-3.7,-2.0,0,False,5,0,5,1,4,0,0,3,2,0,1,2,1,1
77,7,7,0,KimiK26,KimiK26,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
77,7,7,0,KimiK26,KimiK26,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
78,7,8,0,KimiK26,MinimaxM2,CCCCCCCCCD,-16,-5,10,-1.6,-0.5,0,True,9,8,1,0,1,8,0,0,1,0,0,0,0,1
78,8,7,0,MinimaxM2,KimiK26,CCCCCCCCDD,-11,5,10,-1.1,0.5,1,True,8,8,0,1,1,7,1,0,0,0,1,0,0,0
79,7,9,0,KimiK26,Nemotron3Super,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
79,9,7,0,Nemotron3Super,KimiK26,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
80,7,10,0,KimiK26,Qwen35,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
80,10,7,0,Qwen35,KimiK26,CCCCCCCCCD,-12,0,10,-1.2,0.0,0,True,9,9,0,0,1,8,1,0,0,0,0,0,0,1
81,7,11,0,KimiK26,Qwen3CoderNext,CCCCCCCCCD,-9,5,10,-0.9,0.5,1,True,9,9,0,1,0,8,1,0,0,0,0,0,0,0
81,11,7,0,Qwen3CoderNext,KimiK26,CCCCCCCCCC,-14,-5,10,-1.4,-0.5,0,True,10,9,1,0,0,9,0,0,0,0,0,0,0,1
82,7,12,0,KimiK26,WAS - Example: 0.5,CDCCCDDDCD,-23,0,10,-2.3,0.0,0,True,5,2,3,3,2,2,0,0,3,2,1,0,1,1
